Iteration 99 :sample 0 	 MSE: 3308.32 	 SSIM: 0.00 
sample 1 	 MSE: 3363.69 	 SSIM: 0.00 
sample 2 	 MSE: 4496.82 	 SSIM: 0.00 
sample 3 	 MSE: 3662.29 	 SSIM: 0.00 
sample 4 	 MSE: 4150.48 	 SSIM: 0.00 
sample 5 	 MSE: 3300.32 	 SSIM: 0.00 
sample 6 	 MSE: 4249.06 	 SSIM: 0.00 
sample 7 	 MSE: 4143.04 	 SSIM: 0.00 
sample 8 	 MSE: 5760.27 	 SSIM: 0.00 
sample 9 	 MSE: 3460.59 	 SSIM: 0.00 
sample 10 	 MSE: 3663.79 	 SSIM: 0.00 
sample 11 	 MSE: 3187.87 	 SSIM: 0.00 
sample 12 	 MSE: 3682.01 	 SSIM: 0.00 
sample 13 	 MSE: 3300.32 	 SSIM: 0.00 
sample 14 	 MSE: 3657.82 	 SSIM: 0.00 
sample 15 	 MSE: 3308.32 	 SSIM: 0.00 
sample 16 	 MSE: 3476.26 	 SSIM: 0.00 
sample 17 	 MSE: 3654.38 	 SSIM: 0.00 
sample 18 	 MSE: 3488.02 	 SSIM: 0.00 
sample 19 	 MSE: 5661.17 	 SSIM: 0.00 
sample 20 	 MSE: 3009.22 	 SSIM: 0.00 
sample 21 	 MSE: 3033.93 	 SSIM: 0.00 
sample 22 	 MSE: 3728.95 	 SSIM: 0.00 
sample 23 	 MSE: 3449.68 	 SSIM: 0.00 
sample 24 	 MSE: 5420.54 	 SSIM: 0.00 
sample 25 	 MSE: 3692.74 	 SSIM: 0.00 
sample 26 	 MSE: 3319.32 	 SSIM: 0.00 
sample 27 	 MSE: 3286.82 	 SSIM: 0.00 
sample 28 	 MSE: 4496.82 	 SSIM: 0.00 
sample 29 	 MSE: 3032.70 	 SSIM: 0.00 
sample 30 	 MSE: 3307.81 	 SSIM: 0.00 
sample 31 	 MSE: 5760.27 	 SSIM: 0.00 
sample 32 	 MSE: 3745.05 	 SSIM: 0.00 
sample 33 	 MSE: 3699.61 	 SSIM: 0.00 
sample 34 	 MSE: 3263.76 	 SSIM: 0.00 
sample 35 	 MSE: 3682.01 	 SSIM: 0.00 
sample 36 	 MSE: 3940.04 	 SSIM: 0.00 
sample 37 	 MSE: 3726.94 	 SSIM: 0.00 
sample 38 	 MSE: 3488.02 	 SSIM: 0.00 
sample 39 	 MSE: 3601.40 	 SSIM: 0.00 
sample 40 	 MSE: 3377.93 	 SSIM: 0.00 
sample 41 	 MSE: 3291.71 	 SSIM: 0.00 
sample 42 	 MSE: 3019.27 	 SSIM: 0.00 
sample 43 	 MSE: 3681.34 	 SSIM: 0.00 
sample 44 	 MSE: 3438.79 	 SSIM: 0.00 
sample 45 	 MSE: 3363.69 	 SSIM: 0.00 
sample 46 	 MSE: 4059.12 	 SSIM: 0.00 
sample 47 	 MSE: 3238.51 	 SSIM: 0.00 
sample 48 	 MSE: 3654.38 	 SSIM: 0.00 
sample 49 	 MSE: 3815.30 	 SSIM: 0.00 
sample 50 	 MSE: 3494.88 	 SSIM: 0.00 
sample 51 	 MSE: 3908.67 	 SSIM: 0.00 
sample 52 	 MSE: 4037.58 	 SSIM: 0.00 
sample 53 	 MSE: 3609.82 	 SSIM: 0.00 
sample 54 	 MSE: 3990.82 	 SSIM: 0.00 
sample 55 	 MSE: 3291.71 	 SSIM: 0.00 
sample 56 	 MSE: 3601.40 	 SSIM: 0.00 
sample 57 	 MSE: 3538.77 	 SSIM: 0.00 
sample 58 	 MSE: 3885.92 	 SSIM: 0.00 
sample 59 	 MSE: 3262.65 	 SSIM: 0.00 
