2018-08-30 13:36:01.155709: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:897] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-08-30 13:36:01.156105: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1405] Found device 0 with properties: 
name: GeForce GTX 960 major: 5 minor: 2 memoryClockRate(GHz): 1.228
pciBusID: 0000:01:00.0
totalMemory: 1,95GiB freeMemory: 1,73GiB
2018-08-30 13:36:01.156126: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1484] Adding visible gpu devices: 0
2018-08-30 13:36:01.390848: I tensorflow/core/common_runtime/gpu/gpu_device.cc:965] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-08-30 13:36:01.390897: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971]      0 
2018-08-30 13:36:01.390908: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] 0:   N 
2018-08-30 13:36:01.391078: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1097] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 1485 MB memory) -> physical GPU (device: 0, name: GeForce GTX 960, pci bus id: 0000:01:00.0, compute capability: 5.2)
0.14.0
Uppercase local vars:
	BATCH_SIZE: 64
	CRITIC_ITERS: 5
	DIM: 64
	IM_DIM: 32
	ITERS: 10000
	LAMBDA: 10
	MODE: wgan-gp
	OUTPUT_DIM: 3072
Creating train generator with 139 samples.
iter 0	train disc cost	-3.019536018371582	time	17.43100619316101
iter 1	train disc cost	-12.243606567382812	time	12.084152936935425
iter 2	train disc cost	-28.00000762939453	time	11.904602766036987
iter 3	train disc cost	-51.09775161743164	time	11.783616304397583
iter 4	train disc cost	-78.44062805175781	time	11.477379560470581
Iteration 99 : 

sample 0 	 MSE: 9646.00 	 SSIM: 0.00 

sample 1 	 MSE: 5853.93 	 SSIM: -0.00 

sample 2 	 MSE: 6421.75 	 SSIM: -0.00 

sample 3 	 MSE: 10037.13 	 SSIM: 0.00 

sample 4 	 MSE: 6456.98 	 SSIM: -0.00 

sample 5 	 MSE: 7563.76 	 SSIM: -0.00 

sample 6 	 MSE: 7400.73 	 SSIM: -0.00 

sample 7 	 MSE: 6026.53 	 SSIM: -0.00 

sample 8 	 MSE: 7945.52 	 SSIM: -0.00 

sample 9 	 MSE: 5345.17 	 SSIM: -0.00 

sample 10 	 MSE: 6466.00 	 SSIM: -0.00 

sample 11 	 MSE: 6046.68 	 SSIM: -0.00 

sample 12 	 MSE: 6202.25 	 SSIM: -0.00 

sample 13 	 MSE: 6639.63 	 SSIM: -0.00 

sample 14 	 MSE: 6253.62 	 SSIM: -0.00 

sample 15 	 MSE: 5855.69 	 SSIM: -0.00 

sample 16 	 MSE: 6008.92 	 SSIM: -0.00 

sample 17 	 MSE: 6055.08 	 SSIM: -0.00 

sample 18 	 MSE: 6092.27 	 SSIM: -0.00 

sample 19 	 MSE: 6285.90 	 SSIM: -0.00 

sample 20 	 MSE: 5194.75 	 SSIM: -0.00 

sample 21 	 MSE: 5637.22 	 SSIM: -0.00 

sample 22 	 MSE: 6225.10 	 SSIM: -0.00 

sample 23 	 MSE: 6506.13 	 SSIM: -0.00 

sample 24 	 MSE: 6668.32 	 SSIM: -0.00 

sample 25 	 MSE: 6395.79 	 SSIM: -0.00 

sample 26 	 MSE: 6515.33 	 SSIM: -0.00 

sample 27 	 MSE: 7588.96 	 SSIM: -0.00 

sample 28 	 MSE: 6626.25 	 SSIM: -0.00 

sample 29 	 MSE: 7705.96 	 SSIM: 0.00 

sample 30 	 MSE: 4002.18 	 SSIM: -0.00 

sample 31 	 MSE: 5183.70 	 SSIM: -0.00 

sample 32 	 MSE: 6204.57 	 SSIM: -0.00 

sample 33 	 MSE: 9571.10 	 SSIM: 0.00 

sample 34 	 MSE: 7551.85 	 SSIM: -0.00 

sample 35 	 MSE: 5803.17 	 SSIM: -0.00 

sample 36 	 MSE: 6300.20 	 SSIM: -0.00 

sample 37 	 MSE: 6979.37 	 SSIM: -0.00 

sample 38 	 MSE: 6233.32 	 SSIM: -0.00 

